File,Text Segment,Code,Score
000538538.pdf,"Two
independent reviewers evaluated the outputs for accuracy,
completeness, and precision.",Benchmark Performance,0.5217336416244507
000538538.pdf,"Results: Signiﬁcant
differences were observed in completeness and precision
metrics.",Benchmark Performance,0.5240484476089478
000538538.pdf,"To
evaluate the consistency between the reviewers’ scores, the in-
traclass correlation coefﬁcient was calculated, resulting in a score
of 0.92 which indicates excellent reliability [17].",Benchmark Performance,0.5166103839874268
000538538.pdf,"Completeness
The depth and thoroughness of the outputs were measured
using the following criteria [18]: incomplete = addresses some
aspects of the question, but signiﬁcant parts are missing or in-
complete; adequate = addresses all aspects of the question and
provides the minimum amount of information required to be
considered complete; comprehensive = addresses all aspects of the
question and provides additional information or context beyond
what was expected.",Correctness,0.5534309148788452
000538538.pdf,"Readability Assessment
The understandability of the outputs was quantiﬁed using the
Simpliﬁed Measure of Gobbledygook (SMOG) score [19] and the
Flesch-Kincaid Grade Level (FKGL) score [20].",Benchmark Performance,0.5297471880912781
000538538.pdf,"Signiﬁcant differences were observed in
completeness and precision metrics.",Correctness,0.5121641159057617
000538538.pdf,"The study further delved into the aspect of completeness,
evaluating the completeness of the outputs generated by
these LLMs.",Correctness,0.5684441328048706
000538538.pdf,"Our analysis primarily
emphasized accuracy, completeness, and readability.",Benchmark Performance,0.5003739595413208
2312.01639v7.pdf,"[26] hypothesized that existing benchmarks, which
rely on curated synthesis problems and test cases, may be insuf-
ficient for fully assessing the functional correctness of generated
code.",Correctness,0.6168819665908813
2312.01639v7.pdf,"They proposed EvalPlus, a code synthesis evaluation frame-
work designed to rigorously benchmark the functional correctness
of LLM-generated code .",Correctness,0.5637935400009155
2312.01639v7.pdf,"Whereas many related studies focus on eval-
uating the quality and usability of generated code and challenge
existing benchmarks, our work emphasizes a crucial aspect of code
language models: their proficiency in generating domain-specific
code.",Human-Perceived Accuracy,0.5090001821517944
2312.01639v7.pdf,"Therefore, in our study, we have chosen to utilize other popular
metrics such as BLEU and CodeBLEU, which have also been em-
ployed by related works on code generation [21, 28].",Correctness,0.5395545959472656
2312.01639v7.pdf,"Previous
work has indicated that a good function signature already provides
enough information to illustrate its functionality [13].",Correctness,0.5145182609558105
2312.01639v7.pdf,"We compare the model-
generated code against the ground-truth one in the original function
and compute the evaluation metrics.",Correctness,0.5549391508102417
2312.01639v7.pdf,"We compare the model-
generated code against the ground-truth one in the original function
and compute the evaluation metrics.",Error Propagation,0.5643303394317627
2312.01639v7.pdf,"Hu-
manEval is a widely-used benchmark for evaluating code generation
models [8, 34].",Correctness,0.5291867256164551
2312.01639v7.pdf,"Hu-
manEval is a widely-used benchmark for evaluating code generation
models [8, 34].",Error Propagation,0.5489426851272583
2312.01639v7.pdf,"We check if the generated
code has implemented the desired functionality as in the original ref-
erence code, and we pay particular attention to the invoke of domain
libraries.",Correctness,0.6015478372573853
2312.01639v7.pdf,"Overall, of the 200 model-generated functions sampled, we ob-
served that 32 functions were correct (16%), 37 implemented func-
tionality completely different from the reference code (18.50%), 52
had problems with API misuse (26%), and 79 had problems with
missing APIs (39.50%).",Error Propagation,0.5286437273025513
2312.01639v7.pdf,"We hereby summarize common mistakes
that appear in the model-generated code (Figure 1).",Error Propagation,0.6195858120918274
2312.01639v7.pdf,"The three steps are executed in a loop until we have
generated a complete function body or the maximum generation
length is reached.",Correctness,0.5219104290008545
2312.01639v7.pdf,"Under both the zero-shot and the fine-tuning settings, BLEU
and CodeBLEU scores rise when the model is knowledge-enhanced,
and the chain-of-thought fine-tuning strategy reaches the best scores.",Benchmark Performance,0.5871275663375854
2312.01639v7.pdf,"This evaluation holds significance since it
influences the language model’s performance in code generation re-
lying on the suggested API sequences.",Error Propagation,0.5235274434089661
2312.01639v7.pdf,"4.6
Qualitative Analysis
We inspected the code generated by various methods and presented
cases to illustrate their effectiveness.",Correctness,0.5125068426132202
2312.01639v7.pdf,"4.6
Qualitative Analysis
We inspected the code generated by various methods and presented
cases to illustrate their effectiveness.",Human-Perceived Accuracy,0.5071661472320557
2312.01639v7.pdf,"Regarding the evaluation metrics, we have utilized
BLEU and CodeBLEU.",Benchmark Performance,0.6609589457511902
2312.01639v7.pdf,"Although these two metrics are widely used
in code intelligence research, they may not fully represent human
experience.",Error Propagation,0.5139778256416321
2312.01639v7.pdf,"Although these two metrics are widely used
in code intelligence research, they may not fully represent human
experience.",Human-Perceived Accuracy,0.5462716221809387
2312.01639v7.pdf,"In Chi conference on human factors in computing systems
extended abstracts.",Error Propagation,0.5108176469802856
2312.01639v7.pdf,"In Chi conference on human factors in computing systems
extended abstracts.",Human-Perceived Accuracy,0.5072022676467896
2305.03111v2.pdf,"In this case, the VES metric could consider both the efficiency
and accuracy of execution results, providing a comprehensive evaluation of a model’s performance.",Error Propagation,0.5093218684196472
2305.03111v2.pdf,"In this case, the VES metric could consider both the efficiency
and accuracy of execution results, providing a comprehensive evaluation of a model’s performance.",Benchmark Performance,0.6751278638839722
2305.03111v2.pdf,"6.2
Execution Accuracy Analysis
As shown in the Table 2, we implement each baseline model for both two scenarios.",Error Propagation,0.5111786723136902
2305.03111v2.pdf,"6.2
Execution Accuracy Analysis
As shown in the Table 2, we implement each baseline model for both two scenarios.",Benchmark Performance,0.5318744778633118
2305.03111v2.pdf,"After being easily fed with the external knowledge about the
database contents, all models have a clear improvement across the different difficulty levels as shown
in Table 2 and Table 4.",Benchmark Performance,0.5071972608566284
2305.03111v2.pdf,"We observe 500
randomly sampled error cases, providing a detailed assessment in the following categories.",Error Propagation,0.5003219842910767
2305.03111v2.pdf,"Additionally, this vulnerability may lead to security concerns.",Security,0.5324286222457886
2209.11515v3.pdf,"The number of bugs that are
reproduced is counted for each evaluation technique.",Error Propagation,0.5038654804229736
2209.11515v3.pdf,"We evaluate how many bugs could be reproduced within
1, 3, and 5 suggestions, along with the amount of ‘wasted
effort’ required from the developer.",Human-Perceived Accuracy,0.5050792098045349
2209.11515v3.pdf,"5: Distribution of the max_output_clus_size values for
reproduced and not-reproduced bugs
Recall that we use the maximum output cluster size as a
measure of agreement among the FIBs, and thus as a selection
criterion to identify whether a bug has been reproduced.",Correctness,0.5000118613243103
2209.11515v3.pdf,"5: Distribution of the max_output_clus_size values for
reproduced and not-reproduced bugs
Recall that we use the maximum output cluster size as a
measure of agreement among the FIBs, and thus as a selection
criterion to identify whether a bug has been reproduced.",Error Propagation,0.535994827747345
2209.11515v3.pdf,"Other failure
reasons included low report quality in 11 cases (i.e., a human
would have difficulty reproducing the issue as well), the LLM
misidentifying the expected behavior in 8 cases, dependency
on external resources in 6 cases (as was the case in Listing 5),
and finally insufficient LLM synthesis length in 3 cases.",Error Propagation,0.5021129846572876
2209.11515v3.pdf,"We find that 19.3% of
them had full code snippets (i.e., code parsable to a class
or method), while 39.2% had partial code snippets (i.e., not
a complete class or method but in the form of source code
statements or expressions); finally 41.5% did not contain code
snippets inside.",Human-Perceived Accuracy,0.5004927515983582
2209.11515v3.pdf,"External Validity concerns whether the results presented
would generalize.",Human-Perceived Accuracy,0.5045852661132812
2209.11515v3.pdf,"Similar to our work, some techniques focus on reproducing
problems reported by users: a commonly used implicit oracle
is that the program should not crash [33].",Error Propagation,0.5046660900115967
ssoar-researchpolitics-2024-1-heseltine_et_al-Large_language_models_as_a.pdf,"The hybrid validation
approach improves these results further to 96.9% agree-
ment, based on 4.9% disagreement between GPT-4 rounds.",Benchmark Performance,0.5277950763702393
2308.04477v1.pdf,"Speciﬁcally, the focus is on
comprehending the fundamental characteristics that contribute
to certain languages being more suitable for code generation
than others.",Correctness,0.57192063331604
2308.04477v1.pdf,"Speciﬁcally, the focus is on
comprehending the fundamental characteristics that contribute
to certain languages being more suitable for code generation
than others.",Error Propagation,0.5186984539031982
2308.04477v1.pdf,"Speciﬁcally, the focus is on
comprehending the fundamental characteristics that contribute
to certain languages being more suitable for code generation
than others.",Human-Perceived Accuracy,0.5972805619239807
2308.04477v1.pdf,"3) We identify some critical limitations of the model and
propose possible directions for further investigation on
automated code development.",Security,0.559445858001709
2308.04477v1.pdf,"3) We identify some critical limitations of the model and
propose possible directions for further investigation on
automated code development.",Error Propagation,0.5421334505081177
2308.04477v1.pdf,"3) We identify some critical limitations of the model and
propose possible directions for further investigation on
automated code development.",Human-Perceived Accuracy,0.518538236618042
2308.04477v1.pdf,"This aims to empower users with
greater precision in manipulating the generated outputs and
comprehending the decision-making mechanisms employed by
the model.",Benchmark Performance,0.5282107591629028
2308.04477v1.pdf,"The
range of values for the model behavior is from 0 to 2.",Error Propagation,0.5012351870536804
2308.04477v1.pdf,"Other than this, however,
the way the output code is presented is also highly variable.",Correctness,0.5546194314956665
2308.04477v1.pdf,"Other than this, however,
the way the output code is presented is also highly variable.",Error Propagation,0.5147151947021484
2308.04477v1.pdf,"This aims at
providing clear indications on how we expect the output to
be structured.",Correctness,0.5915960073471069
2308.04477v1.pdf,"When the output O is correctly generated, it undergoes post-
processing to achieve two objectives, 1) Code Differentiation,
i.e.",Correctness,0.6290440559387207
2308.04477v1.pdf,"2) No Code - Other Reasons: the model refuses to generate
code based on reasons other than ethical/legal, typically
its incapability of performing the task.",Error Propagation,0.5380812883377075
2308.04477v1.pdf,"3) Compilation Failure: the model has produced code, but
its compilation fails.",Error Propagation,0.5282549858093262
2308.04477v1.pdf,"4) Execution - Failure: the code was generated, and even-
tually compiled, but its execution fails.",Correctness,0.5052788853645325
2308.04477v1.pdf,"6) Execution - Success: the code was generated, eventually
compiled, and the execution is successful.",Correctness,0.68565434217453
2308.04477v1.pdf,"6) Execution - Success: the code was generated, eventually
compiled, and the execution is successful.",Human-Perceived Accuracy,0.563570499420166
2308.04477v1.pdf,"It is to be noted that the category Compilation – Success
is absent since, in the case of compiled languages, we can
execute only code that has been successfully compiled.",Correctness,0.538986086845398
2308.04477v1.pdf,"For example, the
model demonstrates the highest performance in the category
Security in C, C++, and Smalltalk.",Security,0.5351430177688599
2308.04477v1.pdf,"Speciﬁcally, let
T be the set of 40 tasks deﬁned in Section III-C and L be
the set of tested languages; let Gℓ,t be the time employed by
the model to generate the code for task t in ℓ, and µl,t, the
mean time spent to generate code for task t across L. Then,
our score Pℓis deﬁned as:
Pℓ= µt∈T
Gℓ,t
µl∈L,t
(1)
Figure 2 illustrates the score Pℓobtained for each language.",Error Propagation,0.5621208548545837
2308.04477v1.pdf,"Speciﬁcally, let
T be the set of 40 tasks deﬁned in Section III-C and L be
the set of tested languages; let Gℓ,t be the time employed by
the model to generate the code for task t in ℓ, and µl,t, the
mean time spent to generate code for task t across L. Then,
our score Pℓis deﬁned as:
Pℓ= µt∈T
Gℓ,t
µl∈L,t
(1)
Figure 2 illustrates the score Pℓobtained for each language.",Benchmark Performance,0.5253756046295166
2308.04477v1.pdf,"D. Code Length
We are also interested in comparing the length of the code
produced by ChatGPT with respect to the same task across
the different languages considered in this study.",Error Propagation,0.5078388452529907
2308.04477v1.pdf,"In particular,
we evaluate the length of the code based on two metrics, 1)
Lines of Code (LoC), excluding blank lines, 2) Number of
Characters (NoC), excluding spaces.",Correctness,0.5849334597587585
2308.04477v1.pdf,"In particular,
we evaluate the length of the code based on two metrics, 1)
Lines of Code (LoC), excluding blank lines, 2) Number of
Characters (NoC), excluding spaces.",Error Propagation,0.5449339151382446
2308.04477v1.pdf,"In particular,
we evaluate the length of the code based on two metrics, 1)
Lines of Code (LoC), excluding blank lines, 2) Number of
Characters (NoC), excluding spaces.",Human-Perceived Accuracy,0.5361829996109009
2308.04477v1.pdf,"To provide a reasonable evaluation of the model’s per-
formance relative to the code length, we employ the same
methodology described in Section IV-C.",Correctness,0.5553301572799683
2308.04477v1.pdf,"To provide a reasonable evaluation of the model’s per-
formance relative to the code length, we employ the same
methodology described in Section IV-C.",Security,0.519139289855957
2308.04477v1.pdf,"To provide a reasonable evaluation of the model’s per-
formance relative to the code length, we employ the same
methodology described in Section IV-C.",Error Propagation,0.6690679788589478
2308.04477v1.pdf,"To provide a reasonable evaluation of the model’s per-
formance relative to the code length, we employ the same
methodology described in Section IV-C.",Benchmark Performance,0.6372687816619873
2308.04477v1.pdf,"Similarly as for the time performance, we are also interested
in understanding the degree of variability in the length of the
generated code.",Correctness,0.558488130569458
2308.04477v1.pdf,"Similarly as for the time performance, we are also interested
in understanding the degree of variability in the length of the
generated code.",Error Propagation,0.5901764035224915
2308.04477v1.pdf,"Nonetheless, despite its limitations, observing the length of
the code generated by ChatGPT can provide some insights into
the model’s ability to produce concise and efﬁcient solutions.",Error Propagation,0.5609741806983948
2308.04477v1.pdf,"1) The length of the generated code seems not to be corre-
lated with the response time of the model with respect to
different languages.",Error Propagation,0.5250406265258789
2308.04477v1.pdf,"2) There is a higher variability in the length of the code
than in the response time.",Error Propagation,0.5243044495582581
2308.04477v1.pdf,"2) In some instances, the model disregards part of the
provided instructions.",Error Propagation,0.5373082160949707
2308.04477v1.pdf,"3) A task is deemed unethical in certain instances, resulting
in the absence of generated code, but in other instances
code is produced.",Human-Perceived Accuracy,0.5205401182174683
2308.04477v1.pdf,"This shows
that the undeterminism of the model does not only relate
to the production of code but also to the understanding
and assessment of the task.",Security,0.5357420444488525
2308.04477v1.pdf,"This shows
that the undeterminism of the model does not only relate
to the production of code but also to the understanding
and assessment of the task.",Error Propagation,0.558945894241333
2308.04477v1.pdf,"In particular, it would allow to determine
unequivocally the characteristics that make a programming
language more suitable for ChatGPT code generation.",Correctness,0.5370363593101501
2308.04477v1.pdf,"In particular, it would allow to determine
unequivocally the characteristics that make a programming
language more suitable for ChatGPT code generation.",Human-Perceived Accuracy,0.5498835444450378
2308.04477v1.pdf,"These models
can serve as valuable tools for developers, offering assistance
in tasks such as code completion, bug identiﬁcation, and
code refactoring.",Security,0.5542086362838745
2308.04477v1.pdf,"These models
can serve as valuable tools for developers, offering assistance
in tasks such as code completion, bug identiﬁcation, and
code refactoring.",Error Propagation,0.5240648984909058
2308.04477v1.pdf,"In order to assess the quality
of the code across different languages, a standardised
and comprehensive framework for code testing across
multiple languages has to be developed.",Correctness,0.5070062875747681
2308.04477v1.pdf,"In the future, we plan to extend our performance
evaluation to these models as well.",Benchmark Performance,0.571260929107666
2308.04477v1.pdf,"The model exhibits
non-deterministic behavior, enabling it to generate differ-
ent code solutions for a given problem.",Error Propagation,0.5365563631057739
2308.04477v1.pdf,"Nevertheless, this
behavior often leads to inconsistent performance, since
the model generates syntactically correct code for a given
task in some instances, while producing bugged code
or no code at all in other instances.",Error Propagation,0.6402642726898193
2308.04477v1.pdf,"2) The performance of the model largely varies based on
the chosen language, in terms of syntactical correctness
of the code, its length and the time employed to generate
it.",Error Propagation,0.5944000482559204
2211.10438v7.pdf,"We use
MMLU (Hendrycks et al., 2020), MNLI (Williams et al.,
2018), QNLI (Wang et al., 2018) and LAMBADA to eval-
uate the GLM-130B model because some of the afore-
mentioned benchmarks appear in the training set of GLM-
130B.",Benchmark Performance,0.538780927658081
